species_id,species_name,common_name,noongar_name,category,i6,i5,i1,i2,i3,i4,s1,s2,s3,s4,s5,s6,species_info,photo_hlink
m32,Allocasuarina fraseriana,Western Sheoak,"Condil, Kulli, Gulli, Kwell",bush_medicine,y,y,y,y,y,y,y,y,y,y,y,y,"Spiritual and emotional wellbeing. Sounds of wind through leaves used to induce sleep.
Falling leaves believed to be tears of healing from ancestors",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Allocasuarina%20fraseriana.jpg
m33,Cymbopogon obtectus,Silky Heads,Djiraly,bush_medicine,y,y,y,n,n,y,y,y,y,y,y,y,"Leaves used to treat coughs and colds, sore muscles, headaches, and sores.
Roots were used to treat earaches",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Cymbopogon%20obtectus.jpg
m34,Eremophila scoparia,Silver Emu Bush,Barangg,bush_medicine,n,n,y,n,n,n,y,y,y,y,y,y,"Leaves used to treat sores, colds, headaches, diarrhoea, and chest pains.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Eremophila%20scoparia.jpg
m35,Clematis linearifolia,Small Leaf Clematis,Taaruk,bush_medicine,y,y,n,y,y,y,y,y,y,y,y,y,Leaves used to treat irritated skin.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Clematis%20linearifolia.jpg
m36,Persoonia longifolia,Snottygobble,Kadgeegurr,bush_medicine,n,y,n,y,y,y,y,y,y,y,y,y,"Bark was used as eyewashes and to treat skin disorders.
Leaves used to relieve colds and sore throats.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Persoonia%20longifolia.jpg
m37,Calytrix strigosa,Starflower,Koorin,bush_medicine,y,y,y,y,n,n,y,y,y,y,y,y,"Bark, leaves, and twigs used to treat skin problems.
Bark used to treat sinusitis.
Leaves used to treat rheumatism, muscle aches, bruises, sprains, and wounds.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Calytrix%20strigosa.jpg
m38,Dodonaea viscosa,Sticky Hopbush,Waning,bush_medicine,y,y,y,y,y,y,y,y,y,y,y,y,"Leaves used to treat toothache, stonefish and stingray wounds, fevers.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Dodonaea%20viscosa.jpg
m39,Agonis flexuosa,Sweet Peppermint,"Wanil, Wanill, Wannow, Wonong, Wannung, Warndilyy",bush_medicine,y,y,n,y,y,y,y,y,y,y,y,y,"Leaves used to treat chest and nasal congestion, minor wounds, and as mouthwash.
Leaves and twigs used to treat respiratory problems.
Ash used to treat wounds and sores.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Agonis%20flexuosa.jpg
m40,Pittosporum angustifolium,Weeping Pittosporum,Wongin,bush_medicine,y,y,y,n,n,y,y,y,y,y,y,y,"Seeds, fruit pulp, leaves, and wood used to treat pain and cramps.
Fruit pulp used to treat eczema and skin irritation.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Pittosporum%20angustifolium.jpg
m41,Hypocalymma angustifolium,White Myrtle,"Koodgeed, Kudjidi",bush_medicine,y,y,y,y,y,y,y,y,y,y,y,y,"Leaves used to treat headaches and nasal congestion.
Leaves and twigs used to treat skin conditions.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Hypocalymma%20angustifolium.jpg
m42,Xylomelum occidentale,Woody Pear,"Danja, Dumbung, Koongal, Quabba",bush_medicine,n,y,n,y,y,n,y,y,y,y,y,y,Leaves and bark used to treat pain.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Xylomelum%20occidentale.jpg
