species_id,species_name,common_name,category,i6,i5,i1,i2,i3,i4,s1,s2,s3,s4,s5,s6,species_info,photo_hlink
w117,Regelia ciliata,,wildflower,y,y,y,y,y,y,y,y,n,n,n,y,Dense ornamental shrub to 1.5m. Deep pink flowers Nov-Feb.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Regelia%20ciliata.jpg
w118,Rhagodia baccata,Berry Saltbush,wildflower,y,y,n,y,y,y,n,y,y,y,n,n,Spreading shrub to 1m x 2m. Tiny flowers followed by masses of red berries Mar-Jun.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Rhagodia%20baccata.jpg
w119,Rhodanthe citrina,Pale Everlasting,wildflower,y,y,y,y,y,y,y,n,n,n,y,y,Everlasting erect annual herb to 30cm. Paper daisy yellow flowers Aug-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Rhodanthe%20citrina.jpg
w120,Rhodanthe chlorocephala,White Everlasting,wildflower,y,y,y,n,n,n,n,n,n,y,y,y,"Annual herb forming erect, branching stems about 5-50cm tall. White daisy-like flower heads range with yellow or dark centres Jun - Nov",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Rhodanthe%20chlorocephala.jpg
w121,Rhodanthe chlorocephala subsp. Rosea,Pink Everlasting,wildflower,y,y,y,n,n,n,n,n,n,y,y,y,Erect annual herb to about 20-60cm tall. Daisy-like flower heads ranging from deep pink to pale pink around yellow or dark centres. Flowers Jun - Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Rhodanthe%20chlorocephala%20subsp.%20rosea.jpg
w122,Scaevola thesioides subsp. thesioides,,wildflower,y,y,n,y,n,n,y,y,n,n,y,y,Open spreading shrub to 50cm. Blue flowers Aug-Mar.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Scaevola%20thesioides%20subsp.%20thesioides.jpg
w123,Scholtzia laxiflora,,wildflower,y,y,n,n,n,n,n,n,n,n,y,y,Upright graceful shrub to 2m. Delicate white flowers Aug-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Scholtzia%20laxiflora.jpg
w124,Scholtzia parviflora,,wildflower,y,n,n,n,n,n,n,n,n,n,y,y,Colourful spreading shrub to 1.5m. Stunning pink/mauve flowers Aug-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Scholtzia%20parviflora.jpg
w125,Thomasia pauciflora,Few-flowered Thomasia,wildflower,n,n,n,y,y,y,y,n,n,y,y,y,Attractive slender shrub to 0.5m. Clusters of pink/purple flowers Jul-Jan.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Thomasia%20pauciflora.jpg
w126,Thryptomene baeckeacea,,wildflower,y,n,n,n,n,n,n,n,n,y,y,n,Floriferous groundcover to 10cm x 1m. Masses of pink flowers Jun-Aug.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Thryptomene%20baeckeacea.jpg
